CHEMBL1761762,COc1ccc2cc(-c3c[nH]c4ccccc34)c(=O)oc2c1
CHEMBL1761764,COc1ccc2oc(=O)c(-c3ccsc3)cc2c1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL1760713,O=[N+]([O-])c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1
CHEMBL1760714,Oc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1
CHEMBL1760715,Clc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1
CHEMBL1760716,Cc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1
CHEMBL1760717,c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1
CHEMBL1760718,Oc1ccccc1C1CC(c2c3ccccc3cc3ccccc23)=NN1
CHEMBL1760719,Oc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c(O)c1
CHEMBL1760720,c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)nc1
CHEMBL1760721,O=[N+]([O-])c1cccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c1
CHEMBL1760722,COc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1
CHEMBL1766619,O=c1c(Cc2ccc(Cl)cc2)coc2cc(Cl)cc(Cl)c12
